,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
0,Atonu Ghosh,A systematic review of log-based cloud forensics,An anonymous blockchain-based logging system for cloud computing,Indian Institute of Technology Kharagpur,22.3144275,87.310392,Kharagpur-I,Kharagpur,West Bengal,India
1,Atonu Ghosh,A systematic review of log-based cloud forensics,An anonymous blockchain-based logging system for cloud computing,"Ph.D. Research Scholar, Indian Institute of Technology Kharagpur",,,,,,
2,C.R. Ramakrishnan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,"Professor of Computer Science, Stony Brook University",,,,,,
3,C.R. Ramakrishnan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
4,C.R. Ramakrishnan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Optimal entanglement distribution problem in satellite-based quantum networks,"Professor of Computer Science, Stony Brook University",,,,,,
5,C.R. Ramakrishnan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Optimal entanglement distribution problem in satellite-based quantum networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
6,C.R. Ramakrishnan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Topology design with resource allocation and entanglement distribution for quantum networks,"Professor of Computer Science, Stony Brook University",,,,,,
7,C.R. Ramakrishnan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Topology design with resource allocation and entanglement distribution for quantum networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
8,"Cheng-Zhong Xu, IEEE Fellow",Joint participant and learning topology selection for federated learning in edge clouds,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Macao SAR,41.0119195,8.8772224,Gallura Nord-Est Sardegna,,Sardinia,Italy
9,"Cheng-Zhong Xu, IEEE Fellow",Joint participant and learning topology selection for federated learning in edge clouds,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",University of Macau,22.1283648,113.5437784,嘉模堂區 Nossa Senhora do Carmo,Macau,Macau,China
10,"Cheng-Zhong Xu, IEEE Fellow",Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning optimization for federated learning of multiple models in edge cloud,Macao SAR,41.0119195,8.8772224,Gallura Nord-Est Sardegna,,Sardinia,Italy
11,"Cheng-Zhong Xu, IEEE Fellow",Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning optimization for federated learning of multiple models in edge cloud,University of Macau,22.1283648,113.5437784,嘉模堂區 Nossa Senhora do Carmo,Macau,Macau,China
12,"Cheng-Zhong Xu, IEEE Fellow",Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning scheduling for multi-model federated edge learning,Macao SAR,41.0119195,8.8772224,Gallura Nord-Est Sardegna,,Sardinia,Italy
13,"Cheng-Zhong Xu, IEEE Fellow",Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning scheduling for multi-model federated edge learning,University of Macau,22.1283648,113.5437784,嘉模堂區 Nossa Senhora do Carmo,Macau,Macau,China
14,"Cheng-Zhong Xu, IEEE Fellow",Joint participant and learning topology selection for federated learning in edge clouds,Participant selection for hierarchical federated learning in edge clouds,Macao SAR,41.0119195,8.8772224,Gallura Nord-Est Sardegna,,Sardinia,Italy
15,"Cheng-Zhong Xu, IEEE Fellow",Joint participant and learning topology selection for federated learning in edge clouds,Participant selection for hierarchical federated learning in edge clouds,University of Macau,22.1283648,113.5437784,嘉模堂區 Nossa Senhora do Carmo,Macau,Macau,China
16,Debashis De,A systematic review of log-based cloud forensics,An anonymous blockchain-based logging system for cloud computing,Maulana Abul Kalam Azad University of Technology,22.5964916,88.4174395,Bidhannagar,Bidhannagar,West Bengal,India
17,Debashis De,A systematic review of log-based cloud forensics,An anonymous blockchain-based logging system for cloud computing,"Professor,Maulana Abul Kalam Azad University of Technology,West Bengal",,,,,,
18,Debashis De,A systematic review of log-based cloud forensics,An anonymous blockchain-based logging system for cloud computing,West Bengal,22.9964948,87.6855882,Kotulpur,,West Bengal,India
19,Dezhong Yao,Rethinking personalized federated learning from knowledge perspective,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Huazhong University of Science,30.5202172,114.4118463,,Hongshan District,Hubei,China
20,Dezhong Yao,Rethinking personalized federated learning from knowledge perspective,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Huazhong University of Science and Technology,30.5202172,114.4118463,,Hongshan District,Hubei,China
21,Dezhong Yao,Rethinking personalized federated learning from knowledge perspective,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Technology,42.3582529,-71.0966272,Middlesex County,Cambridge,Massachusetts,United States
22,Diep N. Nguyen,Right Reward Right Time for Federated Learning,Incentive mechanism design in semi-asynchronous blockchain-based federated learning,University of Technology Sydney,-33.8832536,151.2003294,,Sydney,New South Wales,Australia
23,Fan Wu,From Non-IID to IID: Mobility-aware Hierarchical Federated Learning with Client-Edge Association Control,"Group-based hierarchical federated learning: Convergence, group formation, and sampling","Professor, School of Computer Science, Shanghai Jiao Tong University",,,,,,
24,Fan Wu,From Non-IID to IID: Mobility-aware Hierarchical Federated Learning with Client-Edge Association Control,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",School of Computer Science,,,,,,
25,Fan Wu,From Non-IID to IID: Mobility-aware Hierarchical Federated Learning with Client-Edge Association Control,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Shanghai Jiao Tong University,31.2008912,121.4283949,,Xuhui District,Shanghai,China
26,Fan Wu,MIDDLE: A Mobility-Driven Device-Edge-Cloud Federated Learning Framework,"Group-based hierarchical federated learning: Convergence, group formation, and sampling","Professor, School of Computer Science, Shanghai Jiao Tong University",,,,,,
27,Fan Wu,MIDDLE: A Mobility-Driven Device-Edge-Cloud Federated Learning Framework,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",School of Computer Science,,,,,,
28,Fan Wu,MIDDLE: A Mobility-Driven Device-Edge-Cloud Federated Learning Framework,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Shanghai Jiao Tong University,31.2008912,121.4283949,,Xuhui District,Shanghai,China
29,Francesco Vista,A Sigmoid-Based Optimization Approach for Multi-UAV-Aided IRS-Assisted Quantum Entanglement Distribution in FSO Networks,Optimal entanglement distribution problem in satellite-based quantum networks,Postdoctoral Research Associate at University of Luxembourg,,,,,,
30,Francesco Vista,A Sigmoid-Based Optimization Approach for Multi-UAV-Aided IRS-Assisted Quantum Entanglement Distribution in FSO Networks,Optimal entanglement distribution problem in satellite-based quantum networks,University of Luxembourg,49.5036259,5.9487155,Canton Esch-sur-Alzette,,,Luxembourg
31,Gao Zhibin, A Review on Federated Learning Architectures for Privacy-Preserving AI: Lightweight and Secure Cloud–Edge–End Collaboration,Group formation and sampling in group-based hierarchical federated learning,Jimei University,24.5827448,118.0897804,Xiamen,Jimei,Fujian,China
32,Gao Zhibin, A Review on Federated Learning Architectures for Privacy-Preserving AI: Lightweight and Secure Cloud–Edge–End Collaboration,Group formation and sampling in group-based hierarchical federated learning,"Professor of Communications, Jimei University",,,,,,
33,Giovanni Iacovelli,A Sigmoid-Based Optimization Approach for Multi-UAV-Aided IRS-Assisted Quantum Entanglement Distribution in FSO Networks,Optimal entanglement distribution problem in satellite-based quantum networks,Research Associate at University of Luxembourg,,,,,,
34,Giovanni Iacovelli,A Sigmoid-Based Optimization Approach for Multi-UAV-Aided IRS-Assisted Quantum Entanglement Distribution in FSO Networks,Optimal entanglement distribution problem in satellite-based quantum networks,University of Luxembourg,49.5036259,5.9487155,Canton Esch-sur-Alzette,,,Luxembourg
35,Guihai Chen,From Non-IID to IID: Mobility-aware Hierarchical Federated Learning with Client-Edge Association Control,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Professor of Computer Science,,,,,,
36,Guoliang Xue,QuESat: Satellite-Assisted Quantum Internet for Global-Scale Entanglement Distribution,Optimal entanglement distribution problem in satellite-based quantum networks,Arizona State University,33.4213174,-111.9331631,Maricopa County,Tempe,Arizona,United States
37,Guoliang Xue,QuESat: Satellite-Assisted Quantum Internet for Global-Scale Entanglement Distribution,Optimal entanglement distribution problem in satellite-based quantum networks,Engineering,,,,,,
38,Guoliang Xue,QuESat: Satellite-Assisted Quantum Internet for Global-Scale Entanglement Distribution,Optimal entanglement distribution problem in satellite-based quantum networks,"Professor of Computer Science and Engineering, Arizona State University",,,,,,
39,Haibo Liu,From Non-IID to IID: Mobility-aware Hierarchical Federated Learning with Client-Edge Association Control,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Shanghai Jiao Tong University,31.2008912,121.4283949,,Xuhui District,Shanghai,China
40,Haitao Zhao,Client scheduling for multiserver federated learning in industrial IoT with unreliable communications,Participant selection for hierarchical federated learning in edge clouds,Nanjing University of Posts,32.1152717,118.9259566,,Qixia District,Jiangsu,China
41,Haitao Zhao,Client scheduling for multiserver federated learning in industrial IoT with unreliable communications,Participant selection for hierarchical federated learning in edge clouds,Nanjing University of Posts and Telecommunications,32.1152717,118.9259566,,Qixia District,Jiangsu,China
42,Haitao Zhao,Client scheduling for multiserver federated learning in industrial IoT with unreliable communications,Participant selection for hierarchical federated learning in edge clouds,Telecommunications,-30.405844,27.7075546,,,Quthing District,Lesotho
43,Han-Chieh Chao, A Review on Federated Learning Architectures for Privacy-Preserving AI: Lightweight and Secure Cloud–Edge–End Collaboration,Group formation and sampling in group-based hierarchical federated learning,"Chair Professor of Applied Informatics , Fo Guang University",,,,,,
44,Han-Chieh Chao, A Review on Federated Learning Architectures for Privacy-Preserving AI: Lightweight and Secure Cloud–Edge–End Collaboration,Group formation and sampling in group-based hierarchical federated learning,Fo Guang University,23.2104623,112.8502913,,Sanshui District,Guangdong,China
45,Haozhao Wang,Unleashing the power of continual learning on non-centralized devices: A survey,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Huazhong University of Science,30.5202172,114.4118463,,Hongshan District,Hubei,China
46,Haozhao Wang,Unleashing the power of continual learning on non-centralized devices: A survey,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Huazhong University of Science and Technology,30.5202172,114.4118463,,Hongshan District,Hubei,China
47,Haozhao Wang,Unleashing the power of continual learning on non-centralized devices: A survey,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Technology,42.3582529,-71.0966272,Middlesex County,Cambridge,Massachusetts,United States
48,Himanshu Gupta,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,"Professor, Stony Brook University",,,,,,
49,Himanshu Gupta,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
50,Himanshu Gupta,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Optimal entanglement distribution problem in satellite-based quantum networks,"Professor, Stony Brook University",,,,,,
51,Himanshu Gupta,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Optimal entanglement distribution problem in satellite-based quantum networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
52,Himanshu Gupta,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Topology design with resource allocation and entanglement distribution for quantum networks,"Professor, Stony Brook University",,,,,,
53,Himanshu Gupta,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Topology design with resource allocation and entanglement distribution for quantum networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
54,Hongchang Gao,Group formation and sampling in group-based hierarchical federated learning,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Temple University,39.981188,-75.1562828,Philadelphia County,Philadelphia,Pennsylvania,United States
55,Hongchang Gao,Group formation and sampling in group-based hierarchical federated learning,Joint participant selection and learning optimization for federated learning of multiple models in edge cloud,Temple University,39.981188,-75.1562828,Philadelphia County,Philadelphia,Pennsylvania,United States
56,Hongchang Gao,Group formation and sampling in group-based hierarchical federated learning,Joint participant selection and learning scheduling for multi-model federated edge learning,Temple University,39.981188,-75.1562828,Philadelphia County,Philadelphia,Pennsylvania,United States
